modelo,marca,pulgadas,calidad_imagen,sistema operativo,precio_mediamarkt,peso,precio_dominioVirtual
M10 HD,LENOVO,10.0,HD,Android,129.0,NA,NA
MatePad 10.4,HUAWEI,10.0,WUXGA,EMUI,299.0,NA,NA
Tab M10 HD (2nd Gen),LENOVO,10.0,HD,Android 10,149.0,NA,NA
TAB M10,LENOVO,10.0,Full-HD,Android 9.0,189.0,NA,NA
Tab P11,LENOVO,11.0,2K UltraWide QHD,Android 10,295.0,NA,NA
MediaPad T5,HUAWEI,10.0,HD,Android,159.0,NA,NA
MediaPad T3,HUAWEI,9.0,HD,Android,119.0,0.46,117.1
Galaxy Tab S6 Lite,SAMSUNG,10.0,WUXGA,Android,349.0,NA,NA
Tab M10,LENOVO,10.0,HD,Android,109.0,0.18,139.96
Smart Tab M10 TB-X606FA,LENOVO,10.0,Full-HD,Android 9.0,219.0,NA,NA
TAB M7,LENOVO,7.0,HD,Android,89.0,NA,NA
Yoga Smart Tab,LENOVO,10.0,Full-HD,Android,299.0,NA,NA
Tab S6 Lite 4G,SAMSUNG,10.0,WUXGA,Android 10,399.0,NA,NA
SPC Gravity Pro,SPC,10.0,WXGA,Android,129.0,NA,NA
MatePad T 10s,HUAWEI,10.0,WQXGA,EMUI 10.1,159.0,NA,NA
iPad Air (4ª gen),APPLE,10.0,Retina,iPadOS,959.0,NA,NA
SPC Gravity OctaCore,SPC,10.0,HD,Android 9 Pie,139.0,NA,NA
SPC Gravity Max,SPC,10.0,HD,Android,113.0,NA,NA
iPad Pro (2020 2ª gen.),APPLE,11.0,Retina,iPadOS,1499.0,NA,NA
SPC Gravity Lightyear Pro,SPC,8.0,HD,Android,99.0,NA,NA
Galaxy Tab S7 4G,SAMSUNG,11.0,WQXGA,Android 10 con One UI 2.5,725.0,NA,NA
Galaxy Tab S7,SAMSUNG,11.0,WQXGA,Android 10 con One UI 2.5,625.0,NA,NA
iPad Pro (2020 2ª gen),APPLE,11.0,Retina,iPadOS,1337.0,NA,NA
X70,WOXTER,7.0,HD,Android,59.0,NA,NA
TAB1090,SUNSTECH,10.0,HD,Android 9,129.0,NA,NA
Tab P11 Pro,LENOVO,11.0,WQXGA,Android 10,749.0,NA,NA
Core-T4 ,CROSSCALL,8.0,WXGA,Android 9.0,457.0,NA,NA
Tab M10 Plus,LENOVO,10.0,Full-HD,Android 9™ Pie,208.0,NA,NA
Galaxy Tab A7,SAMSUNG,10.0,WUXGA,Android,279.0,NA,NA
iPad Pro (2020 4ª gen),APPLE,12.0,Retina,iPadOS,1599.0,NA,NA
iPad mini (2019),APPLE,7.0,XGA,iOS,759.0,NA,NA
TAB781,SUNSTECH,7.0,HD,Android 8.1,59.0,NA,NA
iPad 8ª generación,APPLE,10.0,Retina,iPadOS,509.0,NA,NA
TAB1081,SUNSTECH,10.0,HD,Android 8.1,119.0,0.32,112.82
SPC Gravity 4G,SPC,10.0,XGA,Android,129.0,NA,NA
iPhone XS Max,NA,NA,NA,NA,NA,NA,871.2
Surface Surface Pro,NA,NA,NA,NA,NA,0.812,1206.83
Surface Pro 7,NA,NA,NA,NA,NA,0.775,842.72
iPad iPad mini,NA,NA,NA,NA,NA,0.3082,826.6
Galaxy Tab Active Pro SM-T545N,NA,NA,NA,NA,NA,0.653,677.93
Galaxy Tab S6 Lite Tab S6 Lite 64GB LTE Black,NA,NA,NA,NA,NA,0.467,387.31
Galaxy Tab A SM-T290N,NA,NA,NA,NA,NA,0.347,135.88
Gravity Pro,NA,NA,NA,NA,NA,0.55,134.73
BTPC-1025OC-B,NA,NA,NA,NA,NA,0.535,127.95
BTPC-1025OC-N,NA,NA,NA,NA,NA,0.535,127.95
Gravity Max,NA,NA,NA,NA,NA,0.545,113.47
TABLET CON 3G SUPERB BLACK,NA,NA,NA,NA,NA,NA,111.07
X101PROS+,NA,NA,NA,NA,NA,0.52,110.36
Lightyear,NA,NA,NA,NA,NA,0.239,80.74
X703B,NA,NA,NA,NA,NA,0.25,64.54
X703W,NA,NA,NA,NA,NA,0.25,64.54
iPad Pro,NA,NA,NA,NA,NA,0.468,1173.03
